,DataValue,GeoName,TimePeriod
152,49327.0,Oregon,2018Q1
153,49625.0,Oregon,2018Q2
154,50121.0,Oregon,2018Q3
155,50531.0,Oregon,2018Q4
156,54607.0,Pennsylvania,2018Q1
157,54888.0,Pennsylvania,2018Q2
158,55561.0,Pennsylvania,2018Q3
159,56327.0,Pennsylvania,2018Q4
160,54336.0,Rhode Island,2018Q1
161,54544.0,Rhode Island,2018Q2
162,54381.0,Rhode Island,2018Q3
163,54815.0,Rhode Island,2018Q4
164,42375.0,South Carolina,2018Q1
165,42481.0,South Carolina,2018Q2
166,42833.0,South Carolina,2018Q3
167,43220.0,South Carolina,2018Q4
168,49453.0,South Dakota,2018Q1
169,49614.0,South Dakota,2018Q2
170,50034.0,South Dakota,2018Q3
171,51437.0,South Dakota,2018Q4
172,46505.0,Tennessee,2018Q1
173,46848.0,Tennessee,2018Q2
174,47479.0,Tennessee,2018Q3
175,47859.0,Tennessee,2018Q4
176,48547.0,Texas,2018Q1
177,48898.0,Texas,2018Q2
178,49283.0,Texas,2018Q3
179,49888.0,Texas,2018Q4
180,44984.0,Utah,2018Q1
181,45085.0,Utah,2018Q2
182,45458.0,Utah,2018Q3
183,45815.0,Utah,2018Q4
184,53060.0,Vermont,2018Q1
185,53459.0,Vermont,2018Q2
186,53644.0,Vermont,2018Q3
187,54236.0,Vermont,2018Q4
188,56341.0,Virginia,2018Q1
189,56543.0,Virginia,2018Q2
190,57168.0,Virginia,2018Q3
191,57732.0,Virginia,2018Q4
192,59956.0,Washington,2018Q1
193,60342.0,Washington,2018Q2
194,61151.0,Washington,2018Q3
195,61638.0,Washington,2018Q4
196,39415.0,West Virginia,2018Q1
197,39995.0,West Virginia,2018Q2
198,41206.0,West Virginia,2018Q3
199,41688.0,West Virginia,2018Q4
200,50304.0,Wisconsin,2018Q1
201,50442.0,Wisconsin,2018Q2
202,50833.0,Wisconsin,2018Q3
203,51429.0,Wisconsin,2018Q4
204,59174.0,Wyoming,2018Q1
205,59642.0,Wyoming,2018Q2
206,60381.0,Wyoming,2018Q3
207,61162.0,Wyoming,2018Q4
208,66044.0,New England,2018Q1
209,66122.0,New England,2018Q2
210,66750.0,New England,2018Q3
211,67445.0,New England,2018Q4
212,63274.0,Mideast,2018Q1
213,63821.0,Mideast,2018Q2
214,64403.0,Mideast,2018Q3
215,65005.0,Mideast,2018Q4
216,49953.0,Great Lakes,2018Q1
217,50172.0,Great Lakes,2018Q2
218,50706.0,Great Lakes,2018Q3
219,51329.0,Great Lakes,2018Q4
220,50114.0,Plains,2018Q1
221,50717.0,Plains,2018Q2
222,50944.0,Plains,2018Q3
223,51825.0,Plains,2018Q4
224,46263.0,Southeast,2018Q1
225,46517.0,Southeast,2018Q2
226,47017.0,Southeast,2018Q3
227,47501.0,Southeast,2018Q4
228,46948.0,Southwest,2018Q1
229,47245.0,Southwest,2018Q2
230,47677.0,Southwest,2018Q3
231,48242.0,Southwest,2018Q4
232,50615.0,Rocky Mountain,2018Q1
233,50945.0,Rocky Mountain,2018Q2
234,51395.0,Rocky Mountain,2018Q3
235,51922.0,Rocky Mountain,2018Q4
236,59541.0,Far West,2018Q1
237,60155.0,Far West,2018Q2
238,60601.0,Far West,2018Q3
239,61245.0,Far West,2018Q4
